FECHA,VALOR UNIDAD
02/14/2019,18554.26767528
02/15/2019,18576.92836029
02/16/2019,18576.14954403
02/17/2019,18575.36491515
02/18/2019,18606.57100951
02/19/2019,18501.68874876
02/20/2019,18522.18496614
02/21/2019,18534.92091205
02/22/2019,18549.10056412
02/23/2019,18548.30925783
02/24/2019,18547.51799488
02/25/2019,18574.31816271
02/26/2019,18528.75805915
02/27/2019,18368.66179964
02/28/2019,18370.57860414
03/01/2019,18474.98772652
03/02/2019,18474.19823035
03/03/2019,18473.4146536
03/04/2019,18481.01441833
03/05/2019,18503.74675938
03/06/2019,18506.13502059
03/07/2019,18460.98568266
03/08/2019,18606.25360591
03/09/2019,18605.47871798
03/10/2019,18604.70387251
03/11/2019,18792.14685245
03/12/2019,18791.33568725
03/13/2019,18812.55595657
03/14/2019,18803.08411139
03/15/2019,18784.9060218
03/16/2019,18784.10061697
03/17/2019,18783.28931238
03/18/2019,18710.05583595
03/19/2019,18727.3074297
03/20/2019,18640.7726205
03/21/2019,18674.16884498
03/22/2019,18756.86767557
03/23/2019,18756.06899443
03/24/2019,18755.26438813
03/25/2019,18754.46579482
03/26/2019,18893.47882585
03/27/2019,19064.72128996
03/28/2019,19092.6697826
03/29/2019,19096.78617649
03/30/2019,19095.81253956
03/31/2019,19094.84495934
04/01/2019,19064.73532395
04/02/2019,19051.94309192
04/03/2019,19052.15809378
04/04/2019,19062.10398546
04/05/2019,19068.118927
04/06/2019,19067.2970332
04/07/2019,19066.46915234
04/08/2019,19019.95733053
04/09/2019,18939.62358299
04/10/2019,18909.60120208
04/11/2019,18956.66252461
04/12/2019,18987.63049376
04/13/2019,18986.85854895
04/14/2019,18986.08664639
04/15/2019,19130.31156774
04/16/2019,19288.20945553
04/17/2019,19275.81994689
04/18/2019,19275.02522722
04/19/2019,19274.22782974
04/20/2019,19273.43650345
04/21/2019,19272.63919311
04/22/2019,19206.69143151
04/23/2019,19408.99039914
04/24/2019,19641.28210117
04/25/2019,19745.27951785
04/26/2019,19713.52721204
04/27/2019,19712.71850015
04/28/2019,19711.9037624
04/29/2019,19866.88805177
04/30/2019,19788.22488171
05/01/2019,19787.40407331
05/02/2019,19874.06216213
05/03/2019,19827.37081207
05/04/2019,19826.5361448
05/05/2019,19825.69262753
05/06/2019,19856.83555397
05/07/2019,19871.50047701
05/08/2019,19857.52064281
05/09/2019,19731.64419883
05/10/2019,19641.23331025
05/11/2019,19640.4402664
05/12/2019,19639.64120727
05/13/2019,19631.85540285
05/14/2019,19620.70650221
05/15/2019,19722.94449002
05/16/2019,19793.03537153
05/17/2019,19874.29388598
05/18/2019,19873.47476871
05/19/2019,19872.66176764
05/20/2019,19914.0020774
05/21/2019,19973.98212446
05/22/2019,19946.61557705
05/23/2019,19966.56921948
05/24/2019,19955.11894867
05/25/2019,19954.28768944
05/26/2019,19953.45647567
05/27/2019,19963.75009118
05/28/2019,19967.90494449
05/29/2019,19916.83628092
05/30/2019,19846.7242432
05/31/2019,19895.39044884
06/01/2019,19894.58407046
06/02/2019,19893.77773642
06/03/2019,19892.96518974
06/04/2019,19658.75379241
06/05/2019,19693.8471484
06/06/2019,19707.02883137
06/07/2019,19775.97425789
06/08/2019,19775.15261424
06/09/2019,19774.33729918
06/10/2019,19771.57744078
06/11/2019,19755.86116982
06/12/2019,19786.27812372
06/13/2019,19797.42057246
06/14/2019,19782.15240365
06/15/2019,19781.34149859
06/16/2019,19780.52432187
06/17/2019,19832.34784715
06/18/2019,19895.05940134
06/19/2019,19840.02794518
06/20/2019,19740.26900078
06/21/2019,19691.96842435
06/22/2019,19691.14694496
06/23/2019,19690.33185368
06/24/2019,19689.510464
06/25/2019,19607.33713503
06/26/2019,19523.83677972
06/27/2019,19647.33455721
06/28/2019,19754.88028979
06/29/2019,19754.0674096
06/30/2019,19753.24814127
07/01/2019,19752.42930309
07/02/2019,19898.67245661
07/03/2019,19963.76326142
07/04/2019,20003.7049555
07/05/2019,19973.54416073
07/06/2019,19972.71391509
07/07/2019,19971.88964873
07/08/2019,19850.26893972
07/09/2019,19902.512526
07/10/2019,19900.20548203
